日期,中国国债收益率2年,中国国债收益率5年,中国国债收益率10年,中国国债收益率30年,中国国债收益率10年-2年,中国GDP年增率,美国国债收益率2年,美国国债收益率5年,美国国债收益率10年,美国国债收益率30年,美国国债收益率10年-2年,美国GDP年增率
1990-12-19,,,,,,,7.21,7.64,8.0,8.19,0.79,
1990-12-20,,,,,,,7.25,7.67,8.05,8.22,0.8,
1990-12-21,,,,,,,7.3,7.75,8.11,8.28,0.81,
1990-12-24,,,,,,,7.35,7.84,8.2,8.36,0.85,
1990-12-26,,,,,,,7.27,7.78,8.15,8.3,0.88,
1990-12-27,,,,,,,7.25,7.75,8.11,8.25,0.86,
1990-12-28,,,,,,,7.25,7.78,8.14,8.31,0.89,
1990-12-31,,,,,,3.9,7.15,7.68,8.08,8.26,0.93,1.9
1991-01-02,,,,,,,7.08,7.59,7.97,8.14,0.89,
1991-01-03,,,,,,,7.08,7.56,7.93,8.11,0.85,
1991-01-04,,,,,,,7.17,7.65,8.02,8.2,0.85,
1991-01-07,,,,,,,7.2,7.75,8.13,8.32,0.93,
1991-01-08,,,,,,,7.15,7.74,8.16,8.37,1.01,
1991-01-09,,,,,,,7.1,7.81,8.25,8.46,1.15,
1991-01-10,,,,,,,7.14,7.76,8.16,8.37,1.02,
1991-01-11,,,,,,,7.14,7.79,8.2,8.39,1.06,
1991-01-14,,,,,,,7.18,7.82,8.23,8.41,1.05,
1991-01-15,,,,,,,7.16,7.79,8.22,8.41,1.06,
1991-01-16,,,,,,,7.21,7.83,8.24,8.4,1.03,
1991-01-17,,,,,,,7.19,7.71,8.05,8.18,0.86,
1991-01-18,,,,,,,7.14,7.68,8.03,8.17,0.89,
1991-01-22,,,,,,,7.13,7.7,8.07,8.23,0.94,
1991-01-23,,,,,,,7.08,7.67,8.04,8.21,0.96,
1991-01-24,,,,,,,7.04,7.61,8.0,8.18,0.96,
1991-01-25,,,,,,,7.1,7.67,8.06,8.24,0.96,
1991-01-28,,,,,,,7.12,7.67,8.06,8.23,0.94,
1991-01-29,,,,,,,7.1,7.64,8.03,8.2,0.93,
1991-01-30,,,,,,,7.07,7.64,8.05,8.23,0.98,
1991-01-31,,,,,,,7.05,7.62,8.03,8.21,0.98,
1991-02-01,,,,,,,6.83,7.45,7.91,8.09,1.08,
1991-02-04,,,,,,,6.82,7.43,7.88,8.05,1.06,
1991-02-05,,,,,,,6.8,7.4,7.85,8.02,1.05,
1991-02-06,,,,,,,6.82,7.4,7.79,8.02,0.97,
1991-02-07,,,,,,,6.8,7.42,7.82,8.01,1.02,
1991-02-08,,,,,,,6.8,7.4,7.77,7.95,0.97,
1991-02-11,,,,,,,6.78,7.39,7.78,7.97,1.0,
1991-02-12,,,,,,,6.78,7.39,7.78,7.96,1.0,
1991-02-13,,,,,,,6.78,7.39,7.78,7.97,1.0,
1991-02-14,,,,,,,6.77,7.38,7.8,7.99,1.03,
1991-02-15,,,,,,,6.82,7.41,7.78,7.97,0.96,
1991-02-19,,,,,,,6.87,7.46,7.8,7.99,0.93,
1991-02-20,,,,,,,6.87,7.49,7.84,8.02,0.97,
1991-02-21,,,,,,,6.9,7.51,7.88,8.04,0.98,
1991-02-22,,,,,,,6.98,7.57,7.91,8.07,0.93,
1991-02-25,,,,,,,6.99,7.57,7.91,8.05,0.92,
1991-02-26,,,,,,,7.0,7.62,7.96,8.14,0.96,
1991-02-27,,,,,,,7.02,7.64,7.98,8.15,0.96,
1991-02-28,,,,,,,7.04,7.66,8.02,8.19,0.98,
1991-03-01,,,,,,,7.18,7.78,8.12,8.28,0.94,
1991-03-04,,,,,,,7.16,7.77,8.12,8.29,0.96,
1991-03-05,,,,,,,7.13,7.73,8.08,8.25,0.95,
1991-03-06,,,,,,,7.15,7.77,8.11,8.29,0.96,
1991-03-07,,,,,,,7.12,7.73,8.07,8.23,0.95,
1991-03-08,,,,,,,7.08,7.77,8.13,8.3,1.05,
1991-03-11,,,,,,,7.05,7.71,8.06,8.23,1.01,
1991-03-12,,,,,,,7.07,7.74,8.09,8.26,1.02,
1991-03-13,,,,,,,7.0,7.67,8.02,8.2,1.02,
1991-03-14,,,,,,,6.95,7.64,8.02,8.2,1.07,
1991-03-15,,,,,,,7.01,7.73,8.1,8.3,1.09,
1991-03-18,,,,,,,7.09,7.79,8.15,8.34,1.06,
1991-03-19,,,,,,,7.22,7.93,8.25,8.42,1.03,
1991-03-20,,,,,,,7.2,7.88,8.2,8.37,1.0,
1991-03-21,,,,,,,7.13,7.82,8.16,8.34,1.03,
1991-03-22,,,,,,,7.13,7.82,8.13,8.33,1.0,
1991-03-25,,,,,,,7.14,7.83,8.13,8.32,0.99,
1991-03-26,,,,,,,7.16,7.84,8.13,8.31,0.97,
1991-03-27,,,,,,,7.07,7.76,8.08,8.26,1.01,
1991-03-28,,,,,,,7.02,7.73,8.05,8.24,1.03,
1991-04-01,,,,,,,7.01,7.74,8.07,8.25,1.06,
1991-04-02,,,,,,,6.97,7.68,8.03,8.22,1.06,
1991-04-03,,,,,,,6.99,7.71,8.05,8.24,1.06,
1991-04-04,,,,,,,6.94,7.67,8.0,8.19,1.06,
1991-04-05,,,,,,,6.92,7.65,7.99,8.18,1.07,
1991-04-08,,,,,,,6.91,7.63,7.98,8.16,1.07,
1991-04-09,,,,,,,6.94,7.68,8.03,8.2,1.09,
1991-04-10,,,,,,,7.02,7.75,8.1,8.27,1.08,
1991-04-11,,,,,,,6.95,7.74,8.09,8.27,1.14,
1991-04-12,,,,,,,6.88,7.64,7.98,8.16,1.1,
1991-04-15,,,,,,,6.9,7.64,7.95,8.12,1.05,
1991-04-16,,,,,,,6.92,7.66,7.97,8.13,1.05,
1991-04-17,,,,,,,6.9,7.64,7.95,8.11,1.05,
1991-04-18,,,,,,,6.99,7.74,8.02,8.18,1.03,
1991-04-19,,,,,,,7.03,7.8,8.1,8.24,1.07,
1991-04-22,,,,,,,7.07,7.83,8.15,8.3,1.08,
1991-04-23,,,,,,,7.05,7.78,8.12,8.28,1.07,
1991-04-24,,,,,,,6.95,7.73,8.06,8.22,1.11,
1991-04-25,,,,,,,6.93,7.7,8.07,8.24,1.14,
1991-04-26,,,,,,,6.89,7.68,8.06,8.22,1.17,
1991-04-29,,,,,,,6.9,7.7,8.07,8.23,1.17,
1991-04-30,,,,,,,6.8,7.63,8.02,8.2,1.22,
1991-05-01,,,,,,,6.8,7.63,8.01,8.18,1.21,
1991-05-02,,,,,,,6.76,7.59,7.97,8.14,1.21,
1991-05-03,,,,,,,6.8,7.67,8.04,8.22,1.24,
1991-05-06,,,,,,,6.82,7.67,8.05,8.23,1.23,
1991-05-07,,,,,,,6.82,7.67,8.06,8.24,1.24,
1991-05-08,,,,,,,6.84,7.68,8.04,8.24,1.2,
1991-05-09,,,,,,,6.84,7.68,8.02,8.21,1.18,
1991-05-10,,,,,,,6.87,7.76,8.12,8.33,1.25,
1991-05-13,,,,,,,6.84,7.72,8.07,8.27,1.23,
1991-05-14,,,,,,,6.86,7.78,8.14,8.36,1.28,
1991-05-15,,,,,,,6.84,7.77,8.13,8.34,1.29,
1991-05-16,,,,,,,6.84,7.77,8.12,8.33,1.28,
1991-05-17,,,,,,,6.86,7.77,8.08,8.28,1.22,
1991-05-20,,,,,,,6.86,7.78,8.1,8.3,1.24,
1991-05-21,,,,,,,6.84,7.74,8.06,8.26,1.22,
1991-05-22,,,,,,,6.77,7.72,8.06,8.28,1.29,
1991-05-23,,,,,,,6.74,7.71,8.1,8.31,1.36,
1991-05-24,,,,,,,6.69,7.68,8.1,8.31,1.41,
1991-05-28,,,,,,,6.66,7.66,8.07,8.28,1.41,
1991-05-29,,,,,,,6.61,7.66,8.07,8.29,1.46,
1991-05-30,,,,,,,6.6,7.63,8.02,8.22,1.42,
1991-05-31,,,,,,,6.68,7.69,8.06,8.26,1.38,
1991-06-03,,,,,,,6.79,7.8,8.14,8.34,1.35,
1991-06-04,,,,,,,6.79,7.8,8.14,8.34,1.35,
1991-06-05,,,,,,,6.83,7.84,8.19,8.39,1.36,
1991-06-06,,,,,,,6.86,7.89,8.23,8.42,1.37,
1991-06-07,,,,,,,6.98,7.96,8.29,8.48,1.31,
1991-06-10,,,,,,,7.01,7.95,8.29,8.48,1.28,
1991-06-11,,,,,,,6.99,7.96,8.29,8.48,1.3,
1991-06-12,,,,,,,7.08,8.02,8.36,8.55,1.28,
1991-06-13,,,,,,,7.08,8.0,8.34,8.53,1.26,
1991-06-14,,,,,,,7.02,7.94,8.29,8.47,1.27,
1991-06-17,,,,,,,7.02,7.96,8.3,8.49,1.28,
1991-06-18,,,,,,,7.0,7.97,8.32,8.52,1.32,
1991-06-19,,,,,,,6.95,7.97,8.33,8.52,1.38,
1991-06-20,,,,,,,6.87,7.91,8.3,8.48,1.43,
1991-06-21,,,,,,,6.94,7.95,8.32,8.51,1.38,
1991-06-24,,,,,,,6.96,7.98,8.33,8.51,1.37,
1991-06-25,,,,,,,7.04,7.99,8.33,8.51,1.29,
1991-06-26,,,,,,,7.01,7.98,8.33,8.51,1.32,
1991-06-27,,,,,,,7.0,7.97,8.32,8.49,1.32,
1991-06-28,,,,,,,6.9,7.9,8.24,8.42,1.34,
1991-07-01,,,,,,,6.97,7.93,8.26,8.44,1.29,
1991-07-02,,,,,,,7.0,7.95,8.27,8.44,1.27,
1991-07-03,,,,,,,6.97,7.92,8.26,8.42,1.29,
